stock,stockName,jurisdiction,oceanStartAge,terminalNetAge,maxAge,smoltAgeCode,smoltType,adultRunTimingCode,adultRunTiming,region,country,comments,lat,long
HAN,Hanford Wild,CR,2,4,5,0,oceantype,3,Fall,UCOLR,US,,46.215,-123.862
HAR,Harrison River Fall,BC,2,4,5,0,oceantype,3,Fall,LFR,CA,ERA stock,49.218903,-121.945066
HOK,Hoko Fall Fingerling,WA,2,4,6,0,oceantype,3,Fall,JFUCA,US,,48.28688,-124.362
ISS,Issaquah Fall Fingerling,WA,2,4,5,0,oceantype,3,Fall,SPGSD,US,,47.6691,-122.406
KAL,Kalama Fall Hatchery Tule,CR,2,4,5,0,oceantype,3,Fall,LCOLR,US,,46.215,-123.862
KIT,Kitimat River Spring,BC,3,5,6,1,streamtype,1,Spring,NBC,CA,Special purpose - not a CDN ERA indicator,na,na
KLM,Kitsumkalum River Summer,BC,3,5,6,0,oceantype,2,Summer,NBC,CA,ERA stock,54.520959,-128.660892
KLY,Kitsumkalum River Yearling,BC,3,5,6,1,streamtype,2,Summer,NBC,CA,Special purpose - not a CDN ERA indicator,54.520959,-128.660892
LRH,Columbia Lower River Hatchery,CR,2,4,5,0,oceantype,3,Fall,LCOLR,US,,46.215,-123.862
LRW,Lewis River Wild,CR,2,4,5,0,oceantype,3,Fall,LCOLR,US,,46.215,-123.862
LYF,Lyons Ferry,CR,2,4,5,0,oceantype,3,Fall,UCOLR,US,Reflects fingerling rearing strategy (not necessarily juv life history),46.215,-123.862
LYY,Lyons Ferry Yearling,CR,3,5,6,1,streamtype,3,Fall,UCOLR,US,Reflects fingerling rearing strategy (not necessarily juv life history),46.215,-123.862
NAN,Nanaimo River Fall,BC,2,4,5,0,oceantype,3,Fall,ECVI,CA,ERA stock,49.137895,-123.895779
NIC,Nicola River Spring,BC,2,4,5,1,streamtype,1,Spring,MFR,CA,ERA stock,50.427138,-121.316685
NIS,Nisqually Fall Fingerling,WA,2,4,5,0,oceantype,3,Fall,SPGSD,US,,47.0857,-122.7073
NKF,Nooksack Fall Fingerling,WA,2,4,5,0,oceantype,3,Fall,NPGSD,US,,48.7841,-122.5883
NKS,Nooksack Spring Yearling,WA,2,4,5,1,streamtype,1,Spring,NPGSD,US,,48.7841,-122.5883
NPY,North Puget Sound Fall Yearling,WA,2,4,5,0,oceantype,3,Fall,NPGSD,US,Not a current US indicator,na,na
NSF,Nooksack Spring Fingerling,WA,2,4,5,1,streamtype,1,Spring,NPGSD,US,,48.7841,-122.5883
PHI,Phillips River Fall,BC,2,4,5,#N/A,oceantype,#N/A,Summer,ECVI,CA,ERA stock,,
PPS,Puntledge River Summer,BC,2,4,5,0,oceantype,2,Summer,ECVI,CA,ERA stock,49.696529,-124.995198
QN2,Quinault Fall Fingerling 2,WA,2,4,6,0,oceantype,3,Fall,WACST,US,,47.3487,-124.2973
QNT,Quinault Fall Fingerling,WA,2,4,6,0,oceantype,3,Fall,WACST,US,,47.3487,-124.2973
QUE,Queets Fall Fingerling,WA,2,4,6,0,oceantype,3,Fall,WACST,US,,47.5425,-124.3539
QUI,Quinsam River Fall,BC,2,4,6,0,oceantype,3,Fall,ECVI,CA,ERA stock,50.037646,-125.29471
RBT,Robertson Creek Fall,BC,2,4,5,0,oceantype,3,Fall,WCVI,CA,ERA stock,49.246176,-124.820148
SAM,Samish Fall Fingerling,WA,2,4,5,0,oceantype,3,Fall,NPGSD,US,,48.5564,-122.4605
SHU,Lower Shuswap River Summer,BC,2,4,5,0,oceantype,2,Summer,MFR,CA,ERA stock,50.721419,-119.046825
SKE,Skeena River Summer,BC,2,4,6,1,streamtype,2,Summer,NBC,CA,Special purpose - not a CDN ERA indicator,54.520959,-128.660892
SKF,Skagit Spring Fingerling,WA,2,4,5,0,oceantype,1,Spring,NPGSD,US,,48.3873,-122.3686
SKS,Skagit Spring Yearling,WA,2,4,5,1,streamtype,1,Spring,NPGSD,US,,48.3873,-122.3686
SKY,Skykomish Fall Fingerling,WA,2,4,5,0,oceantype,2,Summer,NPGSD,US,"Verified by LL (return more in July, Wallace Hatchery)",48.0173,-122.1898
SOO,Sooes Fall Fingerling,WA,2,4,6,0,oceantype,3,Fall,WACST,US,(Makah Coastal facility (Sooes Hatchery),48.3215,-124.6572
SPR,Spring Creek Tule,CR,2,4,5,0,oceantype,3,Fall,MCOLR,US,,46.215,-123.862
SPS,South Puget Sound Fall Fingerling,WA,2,4,5,0,oceantype,3,Fall,SPGSD,US,,47.0261,-122.9068
SPY,South Puget Sound Fall Yearling,WA,2,4,5,1,streamtype,3,Fall,SPGSD,US,,47.5676,-122.3486
SQP,Squaxin Pens Fall Yearling,WA,2,4,5,0,oceantype,3,Fall,SPGSD,US,,47.1972,-122.8953
SRH,Salmon River,OR,2,4,6,0,oceantype,3,Fall,ORCST,US,,45.0478,-124.0061
SSF,Skagit Summer Fingerling,WA,2,4,5,0,oceantype,2,Summer,NPGSD,US,,48.3873,-122.3686
STI,Stikine Spring,AK,3,5,6,1,streamtype,1,Spring,TBR,US,Wild smolt tagging,56.691,-132.213
STL,Stillaguamish Summer Fingerling,WA,2,4,5,0,oceantype,2,Summer,NPGSD,US,North Fork is location of Summer run,48.2381,-122.3767
SUM,Columbia Summers,CR,2,4,5,0,oceantype,2,Summer,UCOLR,US,Releases a mixture of fingerling and Yearling (BP codes are fingerling; many later codes are yearling with better survival),46.215,-123.862
TAK,Taku Spring,AK,3,5,6,1,streamtype,1,Spring,TBR,US,Wild smolt tagging,58.4199,-133.9971
UNU,Unuk Spring,AK,3,5,6,1,streamtype,1,Spring,SEAK,US,Wild smolt tagging,56.0772,-131.0753
URB,Upriver Brights,CR,2,4,5,0,oceantype,3,Fall,UCOLR,US,,46.215,-123.862
UWA,University of Washington Accelerated,WA,2,4,5,0,oceantype,3,Fall,SPGSD,US,,47.6691,-122.406
WAS,Washougal Fall Hatchery,CR,2,4,5,0,oceantype,3,Fall,LCOLR,US,,46.215,-123.862
WHF,White River Hatchery Fingerling,WA,2,4,5,0,oceantype,1,Spring,SPGSD,US,White River shows both juve LHTs (fingerling type probably predominates),47.2506,-122.4157
WHY,White River Hatchery Yearling,WA,2,4,5,1,streamtype,1,Spring,SPGSD,US,White River drains off Rainier (now flows into the Puyallup R but historically flowed into the Green and then Duwamish; drainage was completely changed to a different drainage),47.2506,-122.4157
WRF,White River Spring Fingerling,WA,2,4,5,1,streamtype,1,Spring,SPGSD,US,,47.2506,-122.4157
WRY,White River Spring Yearling,WA,2,4,5,1,streamtype,1,Spring,SPGSD,US,,47.2506,-122.4157
WSH,Willamette Spring,CR,3,5,6,1,streamtype,1,Spring,LCOLR,US,,46.215,-123.862
